x y z reading
8 16 0 463.02
8 24 0 463.03
8 32 0 463.00
16 -32 0 463.08
16 -24 0 463.03
16 -16 0 463.00
16 -8 0 462.98
16 0 0 463.07
16 8 0 462.93
16 16 0 463.05
16 24 0 462.97
16 32 0 462.91
24 -32 0 462.92
24 -24 0 462.89
24 -16 0 462.94
24 -8 0 462.92
24 0 0 462.88
24 8 0 462.94
24 16 0 462.89
24 24 0 462.89
24 32 0 462.84
32 -24 0 462.90
32 -16 0 462.87
32 -8 0 462.83
32 0 0 462.82
32 8 0 462.84
32 16 0 462.79
32 24 0 462.81
40 0 0 462.78
-39 1 8 462.78
-31 -23 8 462.78
-31 -15 8 462.80
-31 -7 8 462.74
-31 1 8 462.63
-31 9 8 462.67
-31 17 8 462.66
-23 -31 8 462.67
-23 -23 8 462.67
-23 -15 8 462.69
-23 -7 8 462.66
-23 1 8 462.65
-23 9 8 462.60
-23 17 8 462.59
-23 25 8 462.63
-15 -31 8 462.62
-15 -23 8 462.55
-15 -15 8 462.56
-15 -7 8 462.59
-15 1 8 462.57
-15 9 8 462.58
-15 17 8 462.61
-15 25 8 462.54
-15 33 8 462.50
-7 -31 8 462.50
-7 -23 8 462.56
-7 -15 8 462.41
-7 -7 8 462.43
-7 1 8 462.44
-7 9 8 462.43
-7 17 8 462.46
-7 25 8 462.39
-7 33 8 462.44
1 -39 8 462.37
1 -31 8 462.32
1 -23 8 462.25
1 -15 8 462.27
1 -7 8 462.26
1 1 8 462.28
1 9 8 462.26
1 17 8 462.23
1 25 8 462.18
1 33 8 462.26
9 -31 8 462.17
9 -23 8 462.19
9 -15 8 462.13
9 -7 8 462.13
9 1 8 462.10
9 9 8 462.16
9 17 8 462.17
9 25 8 462.19
9 33 8 462.10
17 -31 8 462.13
17 -23 8 462.07
17 -15 8 462.01
17 -7 8 461.97
17 1 8 461.92
17 9 8 462.00
17 17 8 462.02
17 25 8 461.98
17 33 8 461.97
25 -23 8 462.00
25 -15 8 461.99
25 -7 8 461.99
25 1 8 461.97
25 9 8 461.91
25 17 8 461.87
25 25 8 461.89
33 -15 8 461.86
33 -7 8 461.48
33 1 8 461.43
33 9 8 461.49
33 17 8 461.43
-36 -4 16 461.45
-36 4 16 461.48
-28 -20 16 461.52
-28 -12 16 461.43
-28 -4 16 461.38
-28 4 16 461.40
-28 12 16 461.45
-28 20 16 461.47
-20 -28 16 461.41
-20 -20 16 461.30
-20 -12 16 461.37
-20 -4 16 461.40
-20 4 16 461.39
-20 12 16 461.36
-20 20 16 461.36
-20 28 16 461.42
-12 -28 16 461.40
-12 -20 16 461.33
-12 -12 16 461.32
-12 -4 16 461.36
-12 4 16 461.35
-12 12 16 461.35
-12 20 16 461.31
-12 28 16 461.26
-4 -36 16 461.30
-4 -28 16 461.24
-4 -20 16 461.27
-4 -12 16 461.22
-4 -4 16 461.25
-4 4 16 461.31
-4 12 16 461.34
-4 20 16 461.34
-4 28 16 461.24
-4 36 16 461.25
4 -36 16 461.23
4 -28 16 461.25
4 -20 16 461.27
4 -12 16 461.24
4 -4 16 461.20
4 4 16 461.27
4 12 16 461.27
4 20 16 461.30
4 28 16 461.23
4 36 16 461.22
12 -28 16 461.21
12 -20 16 461.24
12 -12 16 461.23
12 -4 16 461.24
12 4 16 461.24
12 12 16 461.34
12 20 16 461.29
12 28 16 461.29
20 -28 16 461.26
20 -20 16 461.18
20 -12 16 461.26
20 -4 16 461.25
20 4 16 461.32
20 12 16 461.24
20 20 16 461.27
20 28 16 461.28
28 -20 16 461.30
28 -12 16 461.21
28 -4 16 461.29
28 4 16 461.32
28 12 16 461.32
28 20 16 461.34
36 -4 16 461.24
36 4 16 461.26
-32 0 24 461.31
-24 -16 24 461.31
-24 -8 24 461.25
-24 0 24 461.24
-24 8 24 461.30
-24 16 24 461.37
-16 -24 24 461.35
-16 -16 24 461.31
-16 -8 24 461.37
-16 0 24 461.31
-16 8 24 461.26
-16 16 24 461.34
-16 24 24 461.33
-8 -24 24 461.38
-8 -16 24 461.39
-8 -8 24 461.34
-8 0 24 461.38
-8 8 24 461.37
-8 16 24 461.35
-8 24 24 461.35
0 -32 24 461.36
0 -24 24 461.31
0 -16 24 461.30
0 -8 24 461.21
0 0 24 461.28
0 8 24 461.23
0 16 24 461.25
0 24 24 461.23
0 32 24 461.22
8 -24 24 461.24
8 -16 24 461.24
8 -8 24 461.20
8 0 24 461.33
8 8 24 461.25
8 16 24 461.25
8 24 24 461.28
16 -24 24 461.21
16 -16 24 461.22
16 -8 24 461.18
16 0 24 461.20
16 8 24 461.18
16 16 24 461.19
16 24 24 461.19
24 -16 24 461.14
24 -8 24 461.16
24 0 24 461.19
24 8 24 461.15
24 16 24 461.18
32 0 24 461.23
-24 0 32 461.20
-16 -16 32 461.15
-16 -8 32 461.19
-16 0 32 461.22
-16 8 32 461.15
-16 16 32 461.19
-8 -16 32 461.15
-8 -8 32 461.12
-8 0 32 461.13
-8 8 32 461.10
-8 16 32 461.04
0 -24 32 461.08
0 -16 32 461.02
0 -8 32 461.01
0 0 32 461.00
0 8 32 461.08
0 16 32 461.09
0 24 32 461.07
8 -16 32 461.02
