x y z
-20 -4 -10
-20 0 -10
-20 4 -10
-20 8 -10
-20 12 -10
-20 16 -10
-20 20 -10
-16 -20 -10
-16 -16 -10
-16 -12 -10
-16 -8 -10
-16 -4 -10
-16 0 -10
-16 4 -10
-16 8 -10
-16 12 -10
-16 16 -10
-16 20 -10
-12 -24 -10
-12 -20 -10
-12 -16 -10
-12 -12 -10
-12 -8 -10
-12 -4 -10
-12 0 -10
-12 4 -10
-12 8 -10
-12 12 -10
-12 16 -10
-12 20 -10
-12 24 -10
-8 -24 -10
-8 -20 -10
-8 -16 -10
-8 -12 -10
-8 -8 -10
-8 -4 -10
-8 0 -10
-8 4 -10
-8 8 -10
-8 12 -10
-8 16 -10
-8 20 -10
-8 24 -10
-4 -28 -10
-4 -24 -10
-4 -20 -10
-4 -16 -10
-4 -12 -10
-4 -8 -10
-4 -4 -10
-4 0 -10
-4 4 -10
-4 8 -10
-4 12 -10
-4 16 -10
-4 20 -10
-4 24 -10
-4 28 -10
0 -28 -10
0 -24 -10
0 -20 -10
0 -16 -10
0 -12 -10
0 -8 -10
0 -4 -10
0 0 -10
0 4 -10
0 8 -10
0 12 -10
0 16 -10
0 20 -10
0 24 -10
0 28 -10
4 -28 -10
4 -24 -10
4 -20 -10
4 -16 -10
4 -12 -10
4 -8 -10
4 -4 -10
4 0 -10
4 4 -10
4 8 -10
4 12 -10
4 16 -10
4 20 -10
4 24 -10
4 28 -10
8 -24 -10
8 -20 -10
8 -16 -10
8 -12 -10
8 -8 -10
8 -4 -10
8 0 -10
8 4 -10
8 8 -10
8 12 -10
8 16 -10
8 20 -10
8 24 -10
12 -24 -10
12 -20 -10
12 -16 -10
12 -12 -10
12 -8 -10
12 -4 -10
12 0 -10
12 4 -10
12 8 -10
12 12 -10
12 16 -10
12 20 -10
12 24 -10
16 -20 -10
16 -16 -10
16 -12 -10
16 -8 -10
16 -4 -10
16 0 -10
16 4 -10
16 8 -10
16 12 -10
16 16 -10
16 20 -10
20 -20 -10
20 -16 -10
20 -12 -10
20 -8 -10
20 -4 -10
20 0 -10
20 4 -10
20 8 -10
20 12 -10
20 16 -10
20 20 -10
24 -12 -10
24 -8 -10
24 -4 -10
24 0 -10
24 4 -10
24 8 -10
24 12 -10
28 -4 -10
28 0 -10
28 4 -10
-29 -1 -6
-29 3 -6
-25 -13 -6
-25 -9 -6
-25 -5 -6
-25 -1 -6
-25 3 -6
-25 7 -6
-25 11 -6
-25 15 -6
-21 -17 -6
-21 -13 -6
-21 -9 -6
-21 -5 -6
-21 -1 -6
-21 3 -6
-21 7 -6
-21 11 -6
-21 15 -6
-21 19 -6
-17 -21 -6
-17 -17 -6
-17 -13 -6
-17 -9 -6
-17 -5 -6
-17 -1 -6
-17 3 -6
-17 7 -6
-17 11 -6
-17 15 -6
-17 19 -6
-17 23 -6
-13 -25 -6
-13 -21 -6
-13 -17 -6
-13 -13 -6
-13 -9 -6
-13 -5 -6
-13 -1 -6
-13 3 -6
-13 7 -6
-13 11 -6
-13 15 -6
-13 19 -6
-13 23 -6
-9 -25 -6
-9 -21 -6
-9 -17 -6
-9 -13 -6
-9 -9 -6
-9 -5 -6
-9 -1 -6
-9 3 -6
-9 7 -6
-9 11 -6
-9 15 -6
-9 19 -6
-9 23 -6
-9 27 -6
-5 -25 -6
-5 -21 -6
-5 -17 -6
-5 -13 -6
-5 -9 -6
-5 -5 -6
-5 -1 -6
-5 3 -6
-5 7 -6
-5 11 -6
-5 15 -6
-5 19 -6
-5 23 -6
-5 27 -6
-1 -29 -6
-1 -25 -6
-1 -21 -6
-1 -17 -6
-1 -13 -6
-1 -9 -6
-1 -5 -6
-1 -1 -6
-1 3 -6
-1 7 -6
-1 11 -6
-1 15 -6
-1 19 -6
-1 23 -6
-1 27 -6
3 -29 -6
3 -25 -6
3 -21 -6
3 -17 -6
3 -13 -6
3 -9 -6
3 -5 -6
3 -1 -6
3 3 -6
3 7 -6
3 11 -6
3 15 -6
3 19 -6
3 23 -6
3 27 -6
7 -25 -6
7 -21 -6
7 -17 -6
7 -13 -6
7 -9 -6
7 -5 -6
7 -1 -6
7 3 -6
7 7 -6
7 11 -6
7 15 -6
7 19 -6
7 23 -6
7 27 -6
11 -25 -6
11 -21 -6
11 -17 -6
11 -13 -6
11 -9 -6
11 -5 -6
11 -1 -6
11 3 -6
11 7 -6
11 11 -6
11 15 -6
11 19 -6
11 23 -6
11 27 -6
15 -25 -6
15 -21 -6
15 -17 -6
15 -13 -6
15 -9 -6
15 -5 -6
15 -1 -6
15 3 -6
15 7 -6
15 11 -6
15 15 -6
15 19 -6
15 23 -6
19 -21 -6
19 -17 -6
19 -13 -6
19 -9 -6
19 -5 -6
19 -1 -6
19 3 -6
19 7 -6
19 11 -6
19 15 -6
19 19 -6
23 -17 -6
23 -13 -6
23 -9 -6
23 -5 -6
23 -1 -6
23 3 -6
23 7 -6
23 11 -6
23 15 -6
27 -9 -6
27 -5 -6
27 -1 -6
27 3 -6
27 7 -6
27 11 -6
-29 -5 -2
-29 -1 -2
-29 3 -2
-29 7 -2
-25 -13 -2
-25 -9 -2
-25 -5 -2
-25 -1 -2
-25 3 -2
-25 7 -2
-25 11 -2
-25 15 -2
-21 -21 -2
-21 -17 -2
-21 -13 -2
-21 -9 -2
-21 -5 -2
-21 -1 -2
-21 3 -2
-21 7 -2
-21 11 -2
-21 15 -2
-21 19 -2
-17 -21 -2
-17 -17 -2
-17 -13 -2
-17 -9 -2
-17 -5 -2
-17 -1 -2
-17 3 -2
-17 7 -2
-17 11 -2
-17 15 -2
-17 19 -2
-17 23 -2
-13 -25 -2
-13 -21 -2
-13 -17 -2
-13 -13 -2
-13 -9 -2
-13 -5 -2
-13 -1 -2
-13 3 -2
-13 7 -2
-13 11 -2
-13 15 -2
-13 19 -2
-13 23 -2
-9 -25 -2
-9 -21 -2
-9 -17 -2
-9 -13 -2
-9 -9 -2
-9 -5 -2
-9 -1 -2
-9 3 -2
-9 7 -2
-9 11 -2
-9 15 -2
-9 19 -2
-9 23 -2
-9 27 -2
-5 -29 -2
-5 -25 -2
-5 -21 -2
-5 -17 -2
-5 -13 -2
-5 -9 -2
-5 -5 -2
-5 -1 -2
-5 3 -2
-5 7 -2
-5 11 -2
-5 15 -2
-5 19 -2
-5 23 -2
-5 27 -2
-1 -29 -2
-1 -25 -2
-1 -21 -2
-1 -17 -2
-1 -13 -2
-1 -9 -2
-1 -5 -2
-1 -1 -2
-1 3 -2
-1 7 -2
-1 11 -2
-1 15 -2
-1 19 -2
-1 23 -2
-1 27 -2
3 -29 -2
3 -25 -2
3 -21 -2
3 -17 -2
3 -13 -2
3 -9 -2
3 -5 -2
3 -1 -2
3 3 -2
3 7 -2
3 11 -2
3 15 -2
3 19 -2
3 23 -2
3 27 -2
7 -29 -2
7 -25 -2
7 -21 -2
7 -17 -2
7 -13 -2
7 -9 -2
7 -5 -2
7 -1 -2
7 3 -2
7 7 -2
7 11 -2
7 15 -2
7 19 -2
7 23 -2
7 27 -2
11 -25 -2
11 -21 -2
11 -17 -2
11 -13 -2
11 -9 -2
11 -5 -2
11 -1 -2
11 3 -2
11 7 -2
11 11 -2
11 15 -2
11 19 -2
11 23 -2
11 27 -2
15 -25 -2
15 -21 -2
15 -17 -2
15 -13 -2
15 -9 -2
15 -5 -2
15 -1 -2
15 3 -2
15 7 -2
15 11 -2
15 15 -2
15 19 -2
15 23 -2
19 -21 -2
19 -17 -2
19 -13 -2
19 -9 -2
19 -5 -2
19 -1 -2
19 3 -2
19 7 -2
19 11 -2
19 15 -2
19 19 -2
19 23 -2
23 -17 -2
23 -13 -2
23 -9 -2
23 -5 -2
23 -1 -2
23 3 -2
23 7 -2
23 11 -2
23 15 -2
23 19 -2
27 -9 -2
27 -5 -2
27 -1 -2
27 3 -2
27 7 -2
27 11 -2
-29 -5 2
-29 -1 2
-29 3 2
-29 7 2
-25 -13 2
-25 -9 2
-25 -5 2
-25 -1 2
-25 3 2
-25 7 2
-25 11 2
-25 15 2
-21 -21 2
-21 -17 2
-21 -13 2
-21 -9 2
-21 -5 2
-21 -1 2
-21 3 2
-21 7 2
-21 11 2
-21 15 2
-21 19 2
-17 -21 2
-17 -17 2
-17 -13 2
-17 -9 2
-17 -5 2
-17 -1 2
-17 3 2
-17 7 2
-17 11 2
-17 15 2
-17 19 2
-17 23 2
-13 -25 2
-13 -21 2
-13 -17 2
-13 -13 2
-13 -9 2
-13 -5 2
-13 -1 2
-13 3 2
-13 7 2
-13 11 2
-13 15 2
-13 19 2
-13 23 2
-9 -25 2
-9 -21 2
-9 -17 2
-9 -13 2
-9 -9 2
-9 -5 2
-9 -1 2
-9 3 2
-9 7 2
-9 11 2
-9 15 2
-9 19 2
-9 23 2
-9 27 2
-5 -29 2
-5 -25 2
-5 -21 2
-5 -17 2
-5 -13 2
-5 -9 2
-5 -5 2
-5 -1 2
-5 3 2
-5 7 2
-5 11 2
-5 15 2
-5 19 2
-5 23 2
-5 27 2
-1 -29 2
-1 -25 2
-1 -21 2
-1 -17 2
-1 -13 2
-1 -9 2
-1 -5 2
-1 -1 2
-1 3 2
-1 7 2
-1 11 2
-1 15 2
-1 19 2
-1 23 2
-1 27 2
3 -29 2
3 -25 2
3 -21 2
3 -17 2
3 -13 2
3 -9 2
3 -5 2
3 -1 2
3 3 2
3 7 2
3 11 2
3 15 2
3 19 2
3 23 2
3 27 2
7 -29 2
7 -25 2
7 -21 2
7 -17 2
7 -13 2
7 -9 2
7 -5 2
7 -1 2
7 3 2
7 7 2
7 11 2
7 15 2
7 19 2
7 23 2
7 27 2
11 -25 2
11 -21 2
11 -17 2
11 -13 2
11 -9 2
11 -5 2
11 -1 2
11 3 2
11 7 2
11 11 2
11 15 2
11 19 2
11 23 2
11 27 2
15 -25 2
15 -21 2
15 -17 2
15 -13 2
15 -9 2
15 -5 2
15 -1 2
15 3 2
15 7 2
15 11 2
15 15 2
15 19 2
15 23 2
19 -21 2
19 -17 2
19 -13 2
19 -9 2
19 -5 2
19 -1 2
19 3 2
19 7 2
19 11 2
19 15 2
19 19 2
19 23 2
23 -17 2
23 -13 2
23 -9 2
23 -5 2
23 -1 2
23 3 2
23 7 2
23 11 2
23 15 2
23 19 2
27 -9 2
27 -5 2
27 -1 2
27 3 2
27 7 2
27 11 2
-29 -1 6
-29 3 6
-25 -13 6
-25 -9 6
-25 -5 6
-25 -1 6
-25 3 6
-25 7 6
-25 11 6
-25 15 6
-21 -17 6
-21 -13 6
-21 -9 6
-21 -5 6
-21 -1 6
-21 3 6
-21 7 6
-21 11 6
-21 15 6
-21 19 6
-17 -21 6
-17 -17 6
-17 -13 6
-17 -9 6
-17 -5 6
-17 -1 6
-17 3 6
-17 7 6
-17 11 6
-17 15 6
-17 19 6
-17 23 6
-13 -25 6
-13 -21 6
-13 -17 6
-13 -13 6
-13 -9 6
-13 -5 6
-13 -1 6
-13 3 6
-13 7 6
-13 11 6
-13 15 6
-13 19 6
-13 23 6
-9 -25 6
-9 -21 6
-9 -17 6
-9 -13 6
-9 -9 6
-9 -5 6
-9 -1 6
-9 3 6
-9 7 6
-9 11 6
-9 15 6
-9 19 6
-9 23 6
-9 27 6
-5 -25 6
-5 -21 6
-5 -17 6
-5 -13 6
-5 -9 6
-5 -5 6
-5 -1 6
-5 3 6
-5 7 6
-5 11 6
-5 15 6
-5 19 6
-5 23 6
-5 27 6
-1 -29 6
-1 -25 6
-1 -21 6
-1 -17 6
-1 -13 6
-1 -9 6
-1 -5 6
-1 -1 6
-1 3 6
-1 7 6
-1 11 6
-1 15 6
-1 19 6
-1 23 6
-1 27 6
3 -29 6
3 -25 6
3 -21 6
3 -17 6
3 -13 6
3 -9 6
3 -5 6
3 -1 6
3 3 6
3 7 6
3 11 6
3 15 6
3 19 6
3 23 6
3 27 6
7 -25 6
7 -21 6
7 -17 6
7 -13 6
7 -9 6
7 -5 6
7 -1 6
7 3 6
7 7 6
7 11 6
7 15 6
7 19 6
7 23 6
7 27 6
11 -25 6
11 -21 6
11 -17 6
11 -13 6
11 -9 6
11 -5 6
11 -1 6
11 3 6
11 7 6
11 11 6
11 15 6
11 19 6
11 23 6
11 27 6
15 -25 6
15 -21 6
15 -17 6
15 -13 6
15 -9 6
15 -5 6
15 -1 6
15 3 6
15 7 6
15 11 6
15 15 6
15 19 6
15 23 6
19 -21 6
19 -17 6
19 -13 6
19 -9 6
19 -5 6
19 -1 6
19 3 6
19 7 6
19 11 6
19 15 6
19 19 6
23 -17 6
23 -13 6
23 -9 6
23 -5 6
23 -1 6
